"mean","sd","sd.corr","vss.int","vr","species","animal"
0.822,0.0196367003338137,0.130151764296507,0.26807074998644,"surv","Anser caerulescens","Anser caerulescens"
0.822,0.0196367003338137,0.130151764296507,0.24282142420395,"surv","Anser caerulescens","Anser caerulescens"
0.822,0.0196367003338137,0.130151764296507,0.200743082079918,"surv","Anser caerulescens","Anser caerulescens"
0.822,0.0196367003338137,0.130151764296507,0.157274378715216,"surv","Anser caerulescens","Anser caerulescens"
0.822,0.0196367003338137,0.130151764296507,0.465019615028037,"surv","Anser caerulescens","Anser caerulescens"
0.138650311,0.0835797513638543,0.664643746855385,0.0791305694328106,"fec","Anser caerulescens","Anser caerulescens"
0.309210348,0.190910813044315,0.699172495406121,0.130303171115631,"fec","Anser caerulescens","Anser caerulescens"
0.427460925666667,0.258665956914996,0.682028572256484,0.135968991927357,"fec","Anser caerulescens","Anser caerulescens"
0.52307555,0.322483629573321,0.699760265231289,0.487383666012242,"fec","Anser caerulescens","Anser caerulescens"
0.712636363636364,0.104882098307836,0.565301591923898,0.102566512211083,"surv","Anthropoides paradiseus","Anthropoides paradiseus"
0.712636363636364,0.104882098307836,0.565301591923898,0.102566512211082,"surv","Anthropoides paradiseus","Anthropoides paradiseus"
0.958454545454545,0.0156803293100855,0.433585043516612,0.0148285023981223,"surv","Anthropoides paradiseus","Anthropoides paradiseus"
0.958454545454545,0.0156803293100855,0.433585043516612,0.0148285023981223,"surv","Anthropoides paradiseus","Anthropoides paradiseus"
0.958454545454545,0.0156803293100855,0.433585043516612,0.14982525660443,"surv","Anthropoides paradiseus","Anthropoides paradiseus"
0.250286454545455,0.0978061405591322,0.367530159217895,0.116816716163449,"fec","Anthropoides paradiseus","Anthropoides paradiseus"
0.327723894736842,0.0938520534416297,0.46702859904893,1.1002957420806,"surv","Callospermophilus lateralis","Callospermophilus lateralis"
0.536212421052632,0.113720538331334,0.472305825111116,0.200650002775572,"surv","Callospermophilus lateralis","Callospermophilus lateralis"
0.536212421052632,0.113720538331334,0.472305825111116,0.0517769926445757,"surv","Callospermophilus lateralis","Callospermophilus lateralis"
0.536212421052632,0.113720538331334,0.472305825111116,0.0128442191932172,"surv","Callospermophilus lateralis","Callospermophilus lateralis"
0.536212421052632,0.113720538331334,0.472305825111116,0.00266265003383046,"surv","Callospermophilus lateralis","Callospermophilus lateralis"
1.51296031578947,0.465592392889252,0.345721252653885,4.64887646550083,"fec","Callospermophilus lateralis","Callospermophilus lateralis"
2.48614921052632,0.631636702236304,0.281304769599449,1.246305460576,"fec","Callospermophilus lateralis","Callospermophilus lateralis"
2.48614921052632,0.631636702236304,0.281304769599449,0.325929650412127,"fec","Callospermophilus lateralis","Callospermophilus lateralis"
2.48614921052632,0.631636702236304,0.281304769599449,0.0852360359302886,"fec","Callospermophilus lateralis","Callospermophilus lateralis"
2.48614921052632,0.631636702236304,0.281304769599449,0.0222906440451886,"fec","Callospermophilus lateralis","Callospermophilus lateralis"
2.48614921052632,0.631636702236304,0.281304769599449,0.00582937494131793,"fec","Callospermophilus lateralis","Callospermophilus lateralis"
0.920533327272727,0.0420599204686111,0.515696204229083,0.0245846744729987,"surv","Cebus capucinus","Cebus capucinus"
0.920533327272727,0.0420599204686111,0.515696204229083,0.0245846744729986,"surv","Cebus capucinus","Cebus capucinus"
0.920533327272727,0.0420599204686111,0.515696204229083,0.0245846744729985,"surv","Cebus capucinus","Cebus capucinus"
0.920533327272727,0.0420599204686111,0.515696204229083,0.0245846744729986,"surv","Cebus capucinus","Cebus capucinus"
0.920533327272727,0.0420599204686111,0.515696204229083,0.0245846744729986,"surv","Cebus capucinus","Cebus capucinus"
0.920533327272727,0.0420599204686111,0.515696204229083,0.0245846744729986,"surv","Cebus capucinus","Cebus capucinus"
0.920533327272727,0.0420599204686111,0.515696204229083,0.0243847858258871,"surv","Cebus capucinus","Cebus capucinus"
0.964747972727273,0.00845094666972043,0.221989585776318,0.105085226900463,"surv","Cebus capucinus","Cebus capucinus"
0.0154429494179235,0.00129225348772388,0.0874754074066892,0.000887422267424337,"fec","Cebus capucinus","Cebus capucinus"
0.114891088923618,0.00961399317915418,0.0874754074066891,0.108258284004577,"fec","Cebus capucinus","Cebus capucinus"
0.345,0.0891882585015845,0.405465680876174,0.192487313291182,"surv","Centrocercus minimus","Centrocercus minimus"
0.415,0.184760286956812,0.825380376044123,0.171916150038689,"surv","Centrocercus minimus","Centrocercus minimus"
0.615833333333333,0.0830616784338146,0.364671288380896,0.0652882470132624,"surv","Centrocercus minimus","Centrocercus minimus"
0.471666666666667,0.15008078632604,0.635949996913256,0.277025069622637,"surv","Centrocercus minimus","Centrocercus minimus"
0.426666666666667,0.133575537589875,0.318764046444006,0.0310087231217577,"fec","Centrocercus minimus","Centrocercus minimus"
0.448333333333333,0.169106385736819,0.385364634414146,0.100670515481847,"fec","Centrocercus minimus","Centrocercus minimus"
0.961369725,0.0128640939936227,0.318185062567654,0.0183647133204498,"surv","Cercopithecus mitis","Cercopithecus mitis"
0.961369725,0.0128640939936227,0.318185062567654,0.0183647133204499,"surv","Cercopithecus mitis","Cercopithecus mitis"
0.961369725,0.0128640939936227,0.318185062567654,0.0183647133204497,"surv","Cercopithecus mitis","Cercopithecus mitis"
0.961369725,0.0128640939936227,0.318185062567654,0.0183647133204497,"surv","Cercopithecus mitis","Cercopithecus mitis"
0.961369725,0.0128640939936227,0.318185062567654,0.0183647133204497,"surv","Cercopithecus mitis","Cercopithecus mitis"
